0:0:0:0:0:0:0:1 - - [06/Jul/2022:13:58:38 +0700] "GET /CRM/css/custom.css HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [06/Jul/2022:13:58:38 +0700] "GET /CRM/css/animate.css HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [06/Jul/2022:13:58:38 +0700] "GET /CRM/css/colors/blue-dark.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [06/Jul/2022:13:58:38 +0700] "GET /CRM/plugins/bower_components/jquery/dist/jquery.min.js HTTP/1.1" 404 1113
0:0:0:0:0:0:0:1 - - [06/Jul/2022:13:58:38 +0700] "GET /CRM/plugins/bower_components/sidebar-nav/dist/sidebar-nav.min.js HTTP/1.1" 404 1133
0:0:0:0:0:0:0:1 - - [06/Jul/2022:13:58:38 +0700] "GET /CRM/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [06/Jul/2022:13:58:38 +0700] "GET /CRM/js/jquery.slimscroll.js HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [06/Jul/2022:13:58:38 +0700] "GET /CRM/js/waves.js HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [06/Jul/2022:13:58:38 +0700] "GET /CRM/js/custom.min.js HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [06/Jul/2022:13:58:38 +0700] "GET /CRM/plugins/images/pixeladmin-logo.png HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [06/Jul/2022:13:58:38 +0700] "GET /CRM/plugins/images/users/varun.jpg HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [06/Jul/2022:13:58:38 +0700] "GET /CRM/plugins/images/pixeladmin-text.png HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [06/Jul/2022:13:58:38 +0700] "GET /CRM/plugins/images/favicon.png HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [06/Jul/2022:13:58:44 +0700] "GET /CRM/groupwork.jsp HTTP/1.1" 200 10424
0:0:0:0:0:0:0:1 - - [06/Jul/2022:13:58:44 +0700] "GET /CRM/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [06/Jul/2022:13:58:44 +0700] "GET /CRM/css/animate.css HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [06/Jul/2022:13:58:44 +0700] "GET /CRM/plugins/bower_components/sidebar-nav/dist/sidebar-nav.min.css HTTP/1.1" 404 1135
0:0:0:0:0:0:0:1 - - [06/Jul/2022:13:58:44 +0700] "GET /CRM/css/style.css HTTP/1.1" 404 1039
